INSTNM,MAIN,CIPDESC,STABBR,DEBTMEDIAN,MD_EARN_WNE,ADM_RATE,SAT_AVG,Tuition_Average,Tuition_more_110K,Debt_payback_YR,Tuit_Avg_4Y_Pyback,Tuit_Inc_4Y_Pyback,Salary_10Y_4Y_Tui
Brookline College-Phoenix,1,"Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing.",AZ,25250,65800,NA,NA,29368,NA,0.383738602,1.785288754,NA,540528
Brookline College-Phoenix,1,Criminal Justice and Corrections.,AZ,35108,30800,NA,NA,29368,NA,1.13987013,3.814025974,NA,190528
Arizona State University-Tempe,1,"Business Administration, Management and Operations.",AZ,19280,49900,0.8415,1235,11163,17230,0.386372745,0.894829659,1.381162325,454348
Arizona State University-Tempe,1,"Business, Management, Marketing, and Related Support Services, Other.",AZ,19750,42900,0.8415,1235,11163,17230,0.46037296,1.040839161,1.606526807,384348
Arizona State University-Tempe,1,"Romance Languages, Literatures, and Linguistics.",AZ,22713,30200,0.8415,1235,11163,17230,0.752086093,1.478543046,2.282119205,257348
Arizona State University-Tempe,1,Engineering-Related Fields.,AZ,22500,59700,0.8415,1235,11163,17230,0.376884422,0.747939698,1.154438861,552348
Arizona State University-Tempe,1,Mechanical Engineering.,AZ,20500,63500,0.8415,1235,11163,17230,0.322834646,0.703181102,1.085354331,590348
Arizona State University-Tempe,1,Construction Management.,AZ,21026,69000,0.8415,1235,11163,17230,0.304724638,0.647130435,0.99884058,645348
Arizona State University-Tempe,1,"Liberal Arts and Sciences, General Studies and Humanities.",AZ,23644,45300,0.8415,1235,11163,17230,0.521942605,0.985695364,1.521412804,408348
Arizona State University-Tempe,1,"Biochemistry, Biophysics and Molecular Biology.",AZ,17776,29600,0.8415,1235,11163,17230,0.600540541,1.508513514,2.328378378,251348
Arizona State University-Tempe,1,Marketing.,AZ,18500,44400,0.8415,1235,11163,17230,0.416666667,1.005675676,1.552252252,399348
Arizona State University-Tempe,1,International/Global Studies.,AZ,19500,36100,0.8415,1235,11163,17230,0.540166205,1.236897507,1.909141274,316348
Arizona State University-Tempe,1,Microbiological Sciences and Immunology.,AZ,23380,36100,0.8415,1235,11163,17230,0.647645429,1.236897507,1.909141274,316348
Arizona State University-Tempe,1,Family and Consumer Economics and Related Studies.,AZ,23250,31800,0.8415,1235,11163,17230,0.731132075,1.404150943,2.167295597,273348
Arizona State University-Tempe,1,Rhetoric and Composition/Writing Studies.,AZ,25419,40600,0.8415,1235,11163,17230,0.626083744,1.099802956,1.697536946,361348
Arizona State University-Tempe,1,Non-Professional General Legal Studies (Undergraduate).,AZ,20500,34100,0.8415,1235,11163,17230,0.601173021,1.309442815,2.02111437,296348
Arizona State University-Tempe,1,Mathematics.,AZ,19140,43700,0.8415,1235,11163,17230,0.43798627,1.021784897,1.577116705,392348
Arizona State University-Tempe,1,"English Language and Literature, General.",AZ,21250,31100,0.8415,1235,11163,17230,0.683279743,1.435755627,2.21607717,266348
